ANT1	18.10	13.40	0.00	2450AT18B100E_2450AT18B100E	2450AT18B100E_ANTC3216X140N
C1	11.40	4.10	0.00	12pF	NORDIC_NRF_3_RESC0201_L
C1-EP-DR	-7.20	6.80	0.00	10uF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C10	9.60	4.70	90.00	N.C.	NORDIC_NRF_3_RESC0201_L
C11	13.60	2.00	0.00	100pF	NORDIC_NRF_3_RESC0201_L
C12	5.40	1.70	270.00	100nF	NORDIC_NRF_3_RESC0201_L
C13	10.20	5.60	0.00	N.C.	NORDIC_NRF_3_RESC0201_L
C14	4.20	-8.40	270.00	4.7µF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C15	7.00	4.80	0.00	1.0µF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C16	13.10	-1.80	270.00	47nF	NORDIC_NRF_3_RESC0201_L
C17	5.20	0.50	90.00	12pF	NORDIC_NRF_3_RESC0201_L
C18	5.10	-1.10	90.00	12pF	NORDIC_NRF_3_RESC0201_L
C19	-9.50	-10.60	0.00	100nF	NORDIC_NRF_3_RESC0201_L
C2	12.60	3.50	0.00	12pF	NORDIC_NRF_3_RESC0201_L
C2-EP-DR	-6.80	5.30	0.00	4.7uF/25V	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C20	6.80	-9.00	180.00	4.7µF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C21	1.60	-7.60	0.00	4.7µF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C22	13.60	8.60	0.00	N.C.	NORDIC_NRF_3_RESC0201_L
C23	-4.50	5.50	0.00	0.1uF	NORDIC_NRF_3_RESC0201_L
C24	-7.10	3.30	0.00	10uF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C25	-7.00	1.90	0.00	22uF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C27	20.00	-8.70	0.00	0.1uF	NORDIC_NRF_3_RESC0201_L
C29	11.30	-11.70	0.00	1uF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C3	14.10	3.20	0.00	1pF	NORDIC_NRF_3_RESC0201_L
C30	-10.30	-12.00	0.00	1uF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C31	0.20	-11.50	0.00	1uF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
